# AffiLabs Cycle Autosave
# Timestamp,2025-11-27T01:43:45.214613
# Cycle Start,3.524 s
# Cycle Stop,544.774 s
# Duration,541.250 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
428.9444,646.3879,-67.1709,642.7153,-25.0233,643.0907,-30.9794,654.5489,6.5626
430.6450,646.4843,29.2827,642.6948,-45.4453,643.1130,-8.6792,654.5237,-18.6187
432.0029,646.4764,21.3754,642.7509,10.6187,643.0641,-57.5572,654.5643,21.9359
433.3906,646.5175,62.4361,642.7145,-25.8080,643.1115,-10.2045,654.4051,-137.1887
434.6956,646.5155,60.4892,642.7217,-18.5917,643.0866,-35.0409,654.4534,-88.9025
435.9997,646.5003,45.2806,642.6836,-56.6938,643.0712,-50.5231,654.4649,-77.3957
437.3496,646.4748,19.7407,642.7007,-39.6223,643.0924,-29.2843,654.4184,-123.9571
438.6562,646.4975,42.4909,642.7140,-26.2803,643.0693,-52.3741,654.4332,-109.1450
439.9609,646.5057,50.6784,642.7054,-34.9057,643.0829,-38.7517,654.5020,-40.2875
441.2649,646.5023,47.2278,642.7168,-23.5251,643.0862,-35.4579,654.4684,-73.9301
442.5704,646.4980,42.9216,642.7043,-35.9494,643.0860,-35.6463,654.4719,-70.4119
